City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,pevek,69.7008,170.3133,-14.38,96,100,2.97,RU,1667296717
127,pangkalanbuun,-2.6833,111.6167,27.02,78,100,1.49,ID,1667296718
128,mitu,1.1983,-70.1733,22.17,96,77,0.51,CO,1667296719
129,ambilobe,-13.2,49.05,34.85,29,10,2.94,MG,1667296720
130,vanavara,60.34,102.2797,-7.88,91,77,1.94,RU,1667296720
131,ahipara,-35.1667,173.1667,14.95,90,54,1.88,NZ,1667296721
132,chumikan,54.7183,135.315,2.72,82,100,7.07,RU,1667296722
133,kaspiysk,42.8816,47.6392,11.1,61,40,11.18,RU,1667296723
134,touros,-5.1989,-35.4608,27.16,65,76,5.84,BR,1667296724
135,iqaluit,63.7506,-68.5145,-8.15,67,75,7.72,CA,1667296724
136,vardo,70.3705,31.1107,1.99,87,75,5.14,NO,1667296725
137,honiara,-9.4333,159.95,26.26,86,20,0.41,SB,1667296726
138,dalby,-27.1833,151.2667,18.32,63,31,6.31,AU,1667296727
139,nouadhibou,20.931,-17.0347,24.99,36,0,5.14,MR,1667296729
140,cabo san lucas,22.8909,-109.9124,23.62,78,3,1.87,MX,1667295969
141,ixtapa,20.7,-105.2,22.9,76,2,0.45,MX,1667296730
142,soyo,-6.1349,12.3689,27.43,76,97,3.0,AO,1667296731
143,flin flon,54.7682,-101.865,-3.91,64,26,2.35,CA,1667296732
144,tawang,27.5833,91.8667,11.9,59,17,2.41,IN,1667296732
145,cidreira,-30.1811,-50.2056,13.74,69,43,6.34,BR,1667296733
146,wynyard,-41.0,145.7167,7.77,70,52,5.28,AU,1667296734
147,rafaela,-31.2503,-61.4867,9.43,43,0,2.14,AR,1667296735
148,la ronge,55.1001,-105.2842,-1.86,86,40,4.12,CA,1667296735
149,new norfolk,-42.7826,147.0587,8.72,64,84,1.34,AU,1667296736
150,lasa,46.6166,10.7002,15.8,50,100,1.87,IT,1667296737
151,verkhnevilyuysk,63.4453,120.3167,-18.06,100,59,1.49,RU,1667296738
152,harqalah,36.0303,10.509,25.92,50,0,3.6,TN,1667296739
153,sao jose da coroa grande,-8.8978,-35.1478,26.07,76,70,2.95,BR,1667296739
154,sobolevo,54.4299,31.8996,3.21,71,100,2.1,RU,1667296740
155,kiama,-34.6833,150.8667,16.11,72,50,0.45,AU,1667296460
156,durant,33.994,-96.3708,14.73,83,0,0.0,US,1667296741
157,bahar,34.9072,48.4414,20.09,19,20,6.17,IR,1667296742
158,puerto leguizamo,-0.1934,-74.7819,21.56,96,32,0.77,CO,1667296743
159,flinders,-34.5833,150.8552,12.81,73,34,3.95,AU,1667296738
160,broken hill,-31.95,141.4333,11.21,49,68,10.47,AU,1667296744
161,asau,46.4333,26.4,13.51,45,42,1.49,RO,1667296745
162,ribeira grande,38.5167,-28.7,18.22,68,75,4.63,PT,1667296746
163,qaanaaq,77.484,-69.3632,-10.34,72,100,1.69,GL,1667296747
164,lompoc,34.6391,-120.4579,12.23,96,75,0.0,US,1667296748
165,plettenberg bay,-34.0527,23.3716,19.66,61,3,9.09,ZA,1667296749
166,norman wells,65.282,-126.8329,-17.98,85,75,1.03,CA,1667296504
167,shingu,33.7333,135.9833,17.58,93,100,3.55,JP,1667296753
168,amritsar,31.6331,74.8656,28.97,51,18,3.09,IN,1667296559
169,nurota,40.5614,65.6886,22.23,27,55,5.83,UZ,1667296755
170,sulangan,11.1373,123.7228,29.09,70,89,0.7,PH,1667296755
171,kumbo,6.2,10.6667,22.72,49,76,2.84,CM,1667296756
172,nampa,43.5407,-116.5635,14.91,53,0,2.06,US,1667296496
173,marzuq,14.4,46.4667,28.21,22,14,3.85,YE,1667296758
174,antsohihy,-14.8796,47.9875,35.71,26,1,1.06,MG,1667296759
175,sungaipenuh,-2.0833,101.3833,21.75,81,99,1.56,ID,1667296760
176,ponta do sol,32.6667,-17.1,23.34,83,96,1.91,PT,1667296761
177,muravlenko,63.7898,74.523,-1.52,95,100,5.28,RU,1667296762
178,hailar,49.2,119.7,-7.9,60,3,7.45,CN,1667296763
179,tasiilaq,65.6145,-37.6368,-0.8,97,100,5.26,GL,1667296763
180,arraial do cabo,-22.9661,-42.0278,23.92,88,75,5.14,BR,1667296764
181,katangli,51.7102,143.2326,4.47,82,100,2.85,RU,1667296765
182,ilulissat,69.2167,-51.1,-7.41,90,99,5.39,GL,1667296766
183,yellowknife,62.456,-114.3525,-9.69,85,100,2.57,CA,1667296767
184,college,64.8569,-147.8028,-15.82,92,50,1.1,US,1667296767
185,saint-philippe,-21.3585,55.7679,26.77,80,50,5.06,RE,1667296768
186,bontang,0.1333,117.5,27.27,83,100,3.1,ID,1667296769
187,hofn,64.2539,-15.2082,5.4,50,5,3.16,IS,1667296770
188,gwadar,25.1216,62.3254,29.03,59,5,6.48,PK,1667296771
189,pochutla,15.7432,-96.4661,22.12,79,1,1.79,MX,1667296771
190,sitka,57.0531,-135.33,2.88,82,82,1.65,US,1667296772
191,meghraj,23.5,73.5,32.23,21,0,3.64,IN,1667296773
192,roald,62.5833,6.1333,13.52,62,0,2.06,NO,1667296774
193,mayo,38.8876,-76.5119,16.09,97,20,1.54,US,1667296775
194,mikhaylovka,50.06,43.2379,5.44,80,100,7.54,RU,1667296775
195,sinazongwe,-17.2614,27.4618,29.77,50,100,3.44,ZM,1667296776
196,barrow,71.2906,-156.7887,-11.99,92,40,4.63,US,1667296778
197,kudahuvadhoo,2.6708,72.8944,27.68,74,61,7.03,MV,1667296779
198,camp verde,34.5636,-111.8543,14.51,36,100,1.16,US,1667296779
199,tessalit,20.1986,1.0114,28.82,15,58,6.18,ML,1667296781
200,tiksi,71.6872,128.8694,-18.72,98,42,3.75,RU,1667296782
201,torbat-e jam,35.244,60.6225,28.06,16,41,7.66,IR,1667296782
202,pisco,-13.7,-76.2167,15.03,88,100,2.57,PE,1667296783
203,heihe,50.2441,127.4902,0.32,58,100,5.59,CN,1667296784
204,townsville,-19.25,146.8,28.49,84,75,3.09,AU,1667296683
205,bairiki,1.3292,172.9752,27.0,83,20,4.12,KI,1667296785
206,duvan,55.695,57.9024,1.48,94,100,4.55,RU,1667296786
207,sur,22.5667,59.5289,31.66,36,0,2.66,OM,1667296787
208,ulagan,50.6321,87.9563,1.92,61,100,1.44,RU,1667296788
209,margate,51.3813,1.3862,16.06,81,77,4.02,GB,1667296789
210,el cope,8.6167,-80.6,19.06,94,96,0.19,PA,1667296789
211,zhangye,38.9342,100.4517,11.29,34,90,5.32,CN,1667296790
212,lusambo,-4.9667,23.45,33.73,43,90,1.14,CD,1667296791
213,praya,14.9215,-23.5087,26.3,65,0,5.66,CV,1667296792
214,stornoway,58.2093,-6.3865,11.98,85,20,3.09,GB,1667296632
215,redwater,33.3582,-94.2544,12.96,79,100,0.91,US,1667296793
216,tuatapere,-46.1333,167.6833,14.17,51,100,6.21,NZ,1667296794
217,nyurba,63.2842,118.3319,-15.72,99,67,1.77,RU,1667296795
218,altay,47.8667,88.1167,3.8,60,40,0.86,CN,1667296795
219,san felipe,10.3399,-68.7425,21.77,99,66,0.33,VE,1667296796
220,morondava,-20.2833,44.2833,29.02,63,3,6.41,MG,1667296797
221,terney,45.0503,136.6092,7.03,84,100,3.52,RU,1667296798
222,churapcha,62.0025,132.4325,-8.86,95,100,3.41,RU,1667296799
223,biak,-0.9131,122.8766,26.37,81,90,0.79,ID,1667296799
224,dong hoi,17.4833,106.6,23.13,70,83,5.6,VN,1667296802
225,mandan,46.8267,-100.8896,5.56,70,0,2.06,US,1667296810
226,san patricio,28.017,-97.5169,20.47,88,98,4.11,US,1667296811
227,port alfred,-33.5906,26.891,18.99,78,51,4.47,ZA,1667296813
228,pokrovsk,48.282,37.1758,6.43,56,8,5.37,UA,1667296813
229,peniche,39.3558,-9.3811,17.82,95,65,5.11,PT,1667296814
230,pitimbu,-7.4706,-34.8086,26.38,72,87,3.68,BR,1667296816
231,tautira,-17.7333,-149.15,24.79,87,100,9.21,PF,1667296817
232,zyryanka,65.75,150.85,-26.99,99,10,2.82,RU,1667296818
233,soligalich,59.0778,42.2864,2.52,74,62,3.56,RU,1667296820
234,yunhe,34.0833,119.7167,13.36,53,0,3.07,CN,1667296821
235,camacha,33.0833,-16.3333,19.68,83,40,4.63,PT,1667296822
236,wanaka,-44.7,169.15,9.4,83,100,4.68,NZ,1667296560
237,alice springs,-23.7,133.8833,21.75,26,0,3.6,AU,1667296824
238,adrar,20.5022,-10.0711,27.58,13,0,5.44,MR,1667296825
239,talnakh,69.4865,88.3972,-5.44,94,100,8.53,RU,1667296826
240,beeville,28.4008,-97.7483,18.49,94,100,4.63,US,1667296827
241,amurzet,47.6967,131.0981,1.67,56,82,4.87,RU,1667296828
242,payo,-3.7508,103.6372,26.04,88,98,0.24,ID,1667296830
243,dera ghazi khan,30.0561,70.6348,33.0,17,0,2.38,PK,1667296831
244,coquimbo,-29.9533,-71.3436,12.64,77,0,1.28,CL,1667296833
245,orodara,10.9492,-4.9342,29.58,32,4,3.02,BF,1667296834
246,san quintin,30.4833,-115.95,18.4,73,100,1.81,MX,1667296835
247,georgetown,5.4112,100.3354,31.05,74,20,4.12,MY,1667296564
248,faanui,-16.4833,-151.75,24.78,87,100,9.25,PF,1667296837
249,quesnel,52.9999,-122.5029,-5.72,100,100,1.03,CA,1667296450
250,wilmington,34.2257,-77.9447,21.59,92,99,0.45,US,1667296805
251,presidencia roque saenz pena,-26.7852,-60.4388,7.7,47,0,2.11,AR,1667296839
252,zambezi,-13.5432,23.1047,19.88,81,100,3.16,ZM,1667296841
253,caravelas,-17.7125,-39.2481,25.98,76,50,3.34,BR,1667296841
254,badiraguato,25.3667,-107.5167,14.84,71,0,1.96,MX,1667296842
255,iracoubo,5.4802,-53.2011,25.78,88,95,4.91,GF,1667296843
256,asyut,27.181,31.1837,26.26,26,0,5.74,EG,1667296846
257,farafangana,-22.8167,47.8333,26.67,68,13,6.07,MG,1667296847
258,tosya,41.0155,34.0401,14.22,37,1,1.24,TR,1667296848
259,dicabisagan,17.0818,122.4157,27.09,88,85,5.19,PH,1667296849
260,hualmay,-11.0964,-77.6139,15.76,86,22,4.5,PE,1667296850
261,longyearbyen,78.2186,15.6401,-0.09,86,75,2.06,SJ,1667296851
262,sisophon,13.5859,102.9737,25.49,68,87,3.78,KH,1667296852
263,katsuura,35.1333,140.3,17.03,80,100,1.89,JP,1667296853
264,noyabrsk,63.1994,75.4507,-2.28,95,100,5.55,RU,1667296854
265,vranje,42.5514,21.9003,22.02,36,0,1.23,RS,1667296855
266,pacific grove,36.6177,-121.9166,13.01,87,91,1.34,US,1667296633
267,poum,-20.2333,164.0167,26.09,75,1,6.06,NC,1667296856
268,bassano,50.7834,-112.4685,4.01,80,100,0.73,CA,1667296857
269,hare bay,48.8499,-54.0148,1.22,82,59,0.83,CA,1667296858
270,gotsu,35.0,132.2167,15.27,83,10,3.23,JP,1667296858
271,boyolangu,-8.1181,111.8935,25.98,82,81,3.26,ID,1667296701
272,kidal,18.4411,1.4078,28.26,14,100,8.91,ML,1667296860
273,eskil,38.4017,33.4131,16.15,33,5,2.89,TR,1667296861
274,dwarka,22.2394,68.9678,30.64,39,0,4.46,IN,1667296862
275,mount isa,-20.7333,139.5,24.87,16,2,4.63,AU,1667296863
276,anage,-14.6122,-41.1356,24.77,70,69,2.5,BR,1667296864
277,svetlogorsk,52.6333,29.7333,7.98,56,74,1.86,BY,1667296806
278,iquique,-20.2208,-70.1431,16.07,70,2,2.11,CL,1667296866
279,zhigansk,66.7697,123.3711,-24.59,100,13,1.86,RU,1667296867
280,payyannur,12.1,75.2,29.27,65,79,3.41,IN,1667296868
281,tiarei,-17.5333,-149.3333,24.01,87,100,9.73,PF,1667296869
282,turtas,58.9417,69.1325,4.12,91,100,4.34,RU,1667296871
283,takab,36.4009,47.1133,15.02,37,3,11.5,IR,1667296872
284,san isidro,-12.1167,-77.05,15.74,85,50,4.0,PE,1667296873
285,rumford,44.5537,-70.5509,9.5,73,100,1.15,US,1667296874
286,tyrma,50.0833,132.1667,-1.88,86,92,2.49,RU,1667296875
287,acapulco,16.8634,-99.8901,24.35,88,5,1.63,MX,1667296251
288,fez,34.0372,-4.9998,23.14,33,0,1.54,MA,1667296879
289,teya,60.3778,92.6267,-6.79,90,7,1.7,RU,1667296881
290,san rafael,-34.6177,-68.3301,9.4,25,0,3.46,AR,1667296882
291,san policarpo,12.1791,125.5072,27.79,81,56,2.57,PH,1667296883
292,lensk,60.7253,114.9278,-9.91,87,51,1.68,RU,1667296730
293,shawnee,39.05,-95.7669,10.91,60,0,0.89,US,1667296884
294,isangel,-19.55,169.2667,24.89,84,35,2.99,VU,1667296885
295,pringsewu,-5.3582,104.9744,26.15,79,100,2.59,ID,1667296886
296,vila velha,-20.3297,-40.2925,24.41,89,40,1.34,BR,1667296866
297,ketchikan,55.3422,-131.6461,0.26,93,40,0.0,US,1667296888
298,orlik,52.5178,99.825,-8.17,72,11,0.29,RU,1667296889
299,coihaique,-45.5752,-72.0662,2.25,97,72,2.85,CL,1667296889
300,porto santo,33.072,-16.3415,21.21,83,40,4.63,PT,1667296890
301,necochea,-38.5473,-58.7368,5.57,77,4,3.37,AR,1667296333
302,rundu,-17.9333,19.7667,34.96,24,17,1.52,NA,1667296892
303,kahului,20.8947,-156.47,26.58,86,11,3.13,US,1667296893
304,mugla,37.2303,28.3557,21.28,23,0,1.38,TR,1667296894
305,maxixe,-23.8597,35.3472,22.12,89,99,6.9,MZ,1667296896
306,poninka,50.1849,27.5363,11.55,41,72,3.38,UA,1667296897
307,channel-port aux basques,47.5702,-59.1367,8.72,77,97,4.74,CA,1667296897
308,camden,39.7835,-74.9663,15.31,93,100,2.18,US,1667296898
309,zhuanghe,39.7008,122.9911,7.72,33,0,2.42,CN,1667296899
310,zwedru,6.0667,-8.1281,23.59,96,97,1.3,LR,1667296900
311,banjar,-8.19,114.9675,27.3,78,89,1.02,ID,1667296901
312,bambous virieux,-20.3428,57.7575,26.79,66,1,4.9,MU,1667296902
313,amapa,1.0,-52.0,22.65,96,100,0.52,BR,1667296902
314,bima,-8.4667,118.7167,27.28,81,87,1.57,ID,1667296810
315,victoria,22.2855,114.1577,20.74,85,100,8.94,HK,1667296875
316,urumqi,43.801,87.6005,8.53,46,0,3.0,CN,1667296904
317,belen,36.4891,36.2233,20.83,44,0,2.85,TR,1667296905
318,vrangel,42.7297,133.0839,7.64,58,25,5.24,RU,1667296906
319,spencer,43.1414,-95.1444,9.2,52,0,1.54,US,1667296907
320,shache,38.4167,77.2406,18.1,22,98,2.8,CN,1667296908
321,cuamba,-14.8031,36.5372,35.84,23,24,2.97,MZ,1667296909
322,port hedland,-20.3167,118.5667,27.03,36,10,5.14,AU,1667296909
323,dyersburg,36.0345,-89.3856,10.95,86,0,0.0,US,1667296910
324,sawtell,-30.3833,153.1,20.01,45,1,4.12,AU,1667296911
325,coari,-4.085,-63.1414,23.43,95,88,1.08,BR,1667296912
326,wukari,7.85,9.7833,30.52,32,100,2.32,NG,1667296913
327,englewood,39.6478,-104.9878,10.13,42,2,2.16,US,1667296803
328,udachnyy,66.4167,112.4,-18.08,98,64,2.95,RU,1667296914
329,villagarzon,1.0375,-76.6267,20.71,97,62,1.72,CO,1667296915
330,aksarka,66.5606,67.7975,-6.12,94,84,3.11,RU,1667296916
331,imeni poliny osipenko,52.4201,136.4853,3.56,91,100,4.31,RU,1667296918
332,waddan,29.1614,16.139,21.59,40,0,2.27,LY,1667296918
333,green valley,31.8543,-110.9937,18.47,39,80,1.98,US,1667296801
334,northam,51.0333,-4.2167,11.81,96,59,8.57,GB,1667296920
335,kulhudhuffushi,6.6221,73.07,27.71,69,90,5.78,MV,1667296921
336,le port,-20.9373,55.2919,27.98,69,41,2.7,RE,1667296922
337,aleksandrovka,46.8383,32.7612,11.04,36,5,3.56,UA,1667296924
338,lagoa,39.05,-27.9833,17.41,73,100,7.33,PT,1667296925
339,santa cruz,-17.8,-63.1667,15.7,41,75,9.26,BO,1667296436
340,belaya gora,68.5333,146.4167,-27.52,100,57,0.63,RU,1667296927
341,souillac,-20.5167,57.5167,25.73,59,0,6.07,MU,1667296866
342,nha trang,12.25,109.1833,27.0,78,100,2.47,VN,1667296665
343,yarada,17.65,83.2667,30.18,62,40,3.6,IN,1667296929
344,nelson bay,-32.7167,152.15,17.22,84,11,3.58,AU,1667296930
345,mithi,24.7318,69.7981,35.92,15,0,4.29,PK,1667296907
346,hurghada,27.2574,33.8129,28.0,31,19,8.54,EG,1667296932
347,sayaxche,16.5167,-90.1667,19.94,97,36,0.75,GT,1667296932
348,constitucion,-35.3333,-72.4167,10.21,47,0,3.18,CL,1667296933
349,umm kaddadah,13.6017,26.6876,32.13,14,70,9.85,SD,1667296934
350,virginia beach,36.8529,-75.978,18.9,95,100,0.45,US,1667296927
